"case_id","story","persona","socio_demo","p","risky_reward","certain_reward","template","model","answer_choice","answer_meaning"
"S5_Influenza_fever_p0.31_ce0.5_family_a male_forward","S5_Influenza_fever","family","a male",0.31,"50.0","0.5","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"S5_Influenza_fever_p0.71_ce30.5_family_a male_forward","S5_Influenza_fever","family","a male",0.71,"50.0","30.5","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"S5_Influenza_fever_p0.01_ce30.5_doctor_a 30-year-old_reversed","S5_Influenza_fever","doctor","a 30-year-old",0.01,"50.0","30.5","reversed","Qwen/Qwen2.5-72B-Instruct","Option B","risky"
"S5_Influenza_fever_p0.71_ce20.5_family_a 85-year-old_reversed","S5_Influenza_fever","family","a 85-year-old",0.71,"50.0","20.5","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"S5_Influenza_fever_p0.11_ce20.5_patient_a low-income_reversed","S5_Influenza_fever","patient","a low-income",0.11,"50.0","20.5","reversed","Qwen/Qwen2.5-72B-Instruct","Option B","risky"
"S5_Influenza_fever_p0.21_ce40.5_patient_an asian_reversed","S5_Influenza_fever","patient","an asian",0.21,"50.0","40.5","reversed","Qwen/Qwen2.5-72B-Instruct","Option B","risky"
"S5_Influenza_fever_p0.41_ce40.5_doctor_an asian_forward","S5_Influenza_fever","doctor","an asian",0.41,"50.0","40.5","forward","Qwen/Qwen2.5-72B-Instruct","Option A","risky"
"S5_Influenza_fever_p0.51_ce45.5_family_a male_forward","S5_Influenza_fever","family","a male",0.51,"50.0","45.5","forward","Qwen/Qwen2.5-72B-Instruct","Option A","risky"
"S5_Influenza_fever_p0.91_ce15.5_doctor_an unhoused_forward","S5_Influenza_fever","doctor","an unhoused",0.91,"50.0","15.5","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"S5_Influenza_fever_p0.51_ce20.5_doctor_an asian_forward","S5_Influenza_fever","doctor","an asian",0.51,"50.0","20.5","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"S5_Influenza_fever_p0.11_ce0.5_family_a high-income_forward","S5_Influenza_fever","family","a high-income",0.11,"50.0","0.5","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"S5_Influenza_fever_p0.81_ce5.5_patient_a gay/lesbian_reversed","S5_Influenza_fever","patient","a gay/lesbian",0.81,"50.0","5.5","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"S5_Influenza_fever_p0.71_ce5.5_doctor_a white_forward","S5_Influenza_fever","doctor","a white",0.71,"50.0","5.5","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"S5_Influenza_fever_p0.31_ce35.5_family_a 85-year-old_forward","S5_Influenza_fever","family","a 85-year-old",0.31,"50.0","35.5","forward","Qwen/Qwen2.5-72B-Instruct","Option A","risky"
